ASIN,Product Title,Model/StyleNumber,Total Sales,Shipped COGS - % of Total,Shipped COGS - Prior Period,Shipped COGS - Last Year,Total Qty,Shipped Units - % of Total,Shipped Units - Prior Period,Shipped Units - Last Year,Customer Returns,Free Replacements,Date,Drop Ship Qty,Drop Ship Sales,Year,Month,Week,Category
,,K7399-B118,,,,,,,,,,,2019-03-25,1.0,44.68,2019,3,13,Decorative Ottomans
,,K7401-A825,,,,,,,,,,,2019-03-25,1.0,51.5,2019,3,13,Decorative Ottomans
,,K7401-F2060,,,,,,,,,,,2019-03-25,1.0,54.69,2019,3,13,Decorative Ottomans
,,K7446-F2105,,,,,,,,,,,2019-03-25,2.0,130.0,2019,3,13,Barstools
,,K7446-F2176,,,,,,,,,,,2019-03-25,1.0,70.13,2019,3,13,Barstools
,,K7446-F2183,,,,,,,,,,,2019-03-25,1.0,70.13,2019,3,13,Barstools
,,K7501-B233,,,,,,,,,,,2019-03-25,1.0,75.0,2019,3,13,Decorative Ottomans
,,K7506-F2185,,,,,,,,,,,2019-03-25,1.0,70.13,2019,3,13,Storage Ottomans
,,K7520-F2084,,,,,,,,,,,2019-03-25,4.0,200.0,2019,3,13,Decorative Ottomans
,,K7573-B234,,,,,,,,,,,2019-03-25,3.0,168.75,2019,3,13,Decorative Ottomans
,,K7575-A794,,,,,,,,,,,2019-03-25,1.0,146.63,2019,3,13,
,,K7646-A750,,,,,,,,,,,2019-03-25,1.0,65.0,2019,3,13,Storage Ottomans
,,K7769-B253,,,,,,,,,,,2019-03-25,1.0,62.22,2019,3,13,
,,N5762-E155,,,,,,,,,,,2019-03-25,95.0,2872.8,2019,3,13,Storage Ottomans
,,N5762-E607,,,,,,,,,,,2019-03-25,9.0,472.5,2019,3,13,Storage Ottomans
,,N6302-F1550,,,,,,,,,,,2019-03-25,1.0,75.0,2019,3,13,Storage Benches
,,N6302-F1569,,,,,,,,,,,2019-03-25,1.0,60.0,2019,3,13,Storage Benches
,,N6354-A708,,,,,,,,,,,2019-03-25,9.0,1080.0,2019,3,13,Dining Chairs
,,N6354-F1423,,,,,,,,,,,2019-03-25,5.0,718.75,2019,3,13,Dining Chairs
,,N7697S-F1539,,,,,,,,,,,2019-03-25,5.0,277.5,2019,3,13,Storage Ottomans
,,N7697S-F1563,,,,,,,,,,,2019-03-25,1.0,70.0,2019,3,13,Storage Ottomans
,,N8264-B119,,,,,,,,,,,2019-03-25,10.0,610.0,2019,3,13,Storage Ottomans
,,N8264-F1044,,,,,,,,,,,2019-03-25,6.0,420.0,2019,3,13,Storage Ottomans
,,N8264-F1077,,,,,,,,,,,2019-03-25,26.0,1539.46,2019,3,13,Storage Ottomans
,,N8264-F2206,,,,,,,,,,,2019-03-25,5.0,375.0,2019,3,13,Storage Ottomans
,,K1136-F662,,,,,,,,,,,2019-03-26,1.0,62.5,2019,3,13,Dining Chairs
,,K1136-F765,,,,,,,,,,,2019-03-26,1.0,62.5,2019,3,13,Dining Chairs
,,K1401-24-E074,,,,,,,,,,,2019-03-26,7.0,315.0,2019,3,13,Barstools
,,K2380-E155,,,,,,,,,,,2019-03-26,6.0,300.0,2019,3,13,Storage Benches
,,K2380-E169,,,,,,,,,,,2019-03-26,9.0,450.0,2019,3,13,Storage Benches
,,K3334-E155,,,,,,,,,,,2019-03-26,2.0,85.06,2019,3,13,Juvenile
,,K5420-F1423,,,,,,,,,,,2019-03-26,1.0,45.94,2019,3,13,Storage Ottomans
,,K5668NP-F1289,,,,,,,,,,,2019-03-26,1.0,87.5,2019,3,13,Storage Benches
,,K5668NP-F1399,,,,,,,,,,,2019-03-26,1.0,77.0,2019,3,13,Storage Benches
,,K6171-B117,,,,,,,,,,,2019-03-26,2.0,102.0,2019,3,13,Storage Ottomans
,,K6171-B119,,,,,,,,,,,2019-03-26,2.0,125.0,2019,3,13,Storage Ottomans
,,K6171-B122,,,,,,,,,,,2019-03-26,2.0,118.76,2019,3,13,Storage Ottomans
,,K6171-B204,,,,,,,,,,,2019-03-26,1.0,52.54,2019,3,13,Storage Ottomans
,,K6171-B214,,,,,,,,,,,2019-03-26,5.0,251.05,2019,3,13,Storage Ottomans
,,K6211-B117,,,,,,,,,,,2019-03-26,1.0,156.25,2019,3,13,Storage Benches
,,K6211-B204,,,,,,,,,,,2019-03-26,1.0,125.63,2019,3,13,Storage Benches
,,K6377-F1374,,,,,,,,,,,2019-03-26,1.0,63.13,2019,3,13,Storage Ottomans
,,K6378-F1374,,,,,,,,,,,2019-03-26,3.0,330.0,2019,3,13,Dining Chairs
,,K6384NP-A750,,,,,,,,,,,2019-03-26,6.0,646.86,2019,3,13,Storage Benches
,,K6384NP-F2051,,,,,,,,,,,2019-03-26,2.0,206.46,2019,3,13,Storage Benches
,,K6384NP-F2054,,,,,,,,,,,2019-03-26,1.0,107.81,2019,3,13,Storage Benches
,,K6384NP-F2055,,,,,,,,,,,2019-03-26,1.0,101.48,2019,3,13,Storage Benches
,,K6499-B122,,,,,,,,,,,2019-03-26,6.0,570.78,2019,3,13,Accent Chairs
,,K6499-B228,,,,,,,,,,,2019-03-26,5.0,637.5,2019,3,13,Accent Chairs
,,K6805-A727,,,,,,,,,,,2019-03-26,2.0,280.0,2019,3,13,Dining Chairs
,,K6805-A751,,,,,,,,,,,2019-03-26,3.0,420.0,2019,3,13,Dining Chairs
,,K6805-A755,,,,,,,,,,,2019-03-26,1.0,140.0,2019,3,13,Dining Chairs
,,K6805-F2052,,,,,,,,,,,2019-03-26,4.0,417.8,2019,3,13,Dining Chairs
,,K6805-F2053,,,,,,,,,,,2019-03-26,2.0,216.8,2019,3,13,Dining Chairs
,,K6805-F2054,,,,,,,,,,,2019-03-26,4.0,575.0,2019,3,13,Dining Chairs
,,K6805-F2061,,,,,,,,,,,2019-03-26,2.0,280.0,2019,3,13,Dining Chairs
,,K6805-F2093,,,,,,,,,,,2019-03-26,1.0,62.5,2019,3,13,Dining Chairs
,,K6858.24-F2051,,,,,,,,,,,2019-03-26,1.0,77.44,2019,3,13,Barstools
,,K6859-F1550,,,,,,,,,,,2019-03-26,1.0,112.5,2019,3,13,Accent Chairs
,,K6862-E843,,,,,,,,,,,2019-03-26,5.0,295.2,2019,3,13,Storage Ottomans
,,K6862-E844,,,,,,,,,,,2019-03-26,4.0,248.6,2019,3,13,Storage Ottomans
,,K6862-E845,,,,,,,,,,,2019-03-26,4.0,248.6,2019,3,13,Storage Ottomans
,,K6862-E846,,,,,,,,,,,2019-03-26,2.0,105.38,2019,3,13,Storage Ottomans
,,K6862-E847,,,,,,,,,,,2019-03-26,3.0,186.45,2019,3,13,Storage Ottomans
,,K6862-E848,,,,,,,,,,,2019-03-26,3.0,186.45,2019,3,13,Storage Ottomans
,,K6958-B118,,,,,,,,,,,2019-03-26,3.0,225.0,2019,3,13,Decorative Ottomans
,,K6958-B200,,,,,,,,,,,2019-03-26,1.0,70.0,2019,3,13,Decorative Ottomans
,,K7118-803-12,,,,,,,,,,,2019-03-26,1.0,105.0,2019,3,13,Storage Benches
,,K7224-B227,,,,,,,,,,,2019-03-26,2.0,125.0,2019,3,13,Decorative Ottomans
,,K7225-B233,,,,,,,,,,,2019-03-26,2.0,124.7,2019,3,13,Decorative Ottomans
,,K7225-B250,,,,,,,,,,,2019-03-26,1.0,62.35,2019,3,13,Decorative Ottomans
,,K7243,,,,,,,,,,,2019-03-26,1.0,42.75,2019,3,13,Accent tables
,,K7342-F2067,,,,,,,,,,,2019-03-26,4.0,229.52,2019,3,13,Storage Ottomans
,,K7380-F1447,,,,,,,,,,,2019-03-26,4.0,180.0,2019,3,13,Storage Ottomans
,,K7401-F2237,,,,,,,,,,,2019-03-26,1.0,51.5,2019,3,13,Decorative Ottomans
,,K7520-F2084,,,,,,,,,,,2019-03-26,1.0,50.0,2019,3,13,Decorative Ottomans
,,K7542-F2149,,,,,,,,,,,2019-03-26,1.0,70.13,2019,3,13,Pets
,,K7576.24-A793,,,,,,,,,,,2019-03-26,1.0,95.0,2019,3,13,Barstools
,,K7646-A750,,,,,,,,,,,2019-03-26,2.0,130.0,2019,3,13,Storage Ottomans
,,N5762-E155,,,,,,,,,,,2019-03-26,17.0,514.08,2019,3,13,Storage Ottomans
,,N5762-E607,,,,,,,,,,,2019-03-26,5.0,262.5,2019,3,13,Storage Ottomans
,,N6302-F1570,,,,,,,,,,,2019-03-26,1.0,75.02,2019,3,13,Storage Benches
,,N6354-F1423,,,,,,,,,,,2019-03-26,1.0,143.75,2019,3,13,Dining Chairs
,,N8264-B119,,,,,,,,,,,2019-03-26,1.0,61.0,2019,3,13,Storage Ottomans
,,N8264-F1044,,,,,,,,,,,2019-03-26,1.0,70.0,2019,3,13,Storage Ottomans
,,N8264-F1077,,,,,,,,,,,2019-03-26,5.0,296.05,2019,3,13,Storage Ottomans
,,N8264-F2206,,,,,,,,,,,2019-03-26,1.0,75.0,2019,3,13,Storage Ottomans
,,K1136-F765,,,,,,,,,,,2019-03-27,1.0,62.5,2019,3,13,Dining Chairs
,,K1136-F772,,,,,,,,,,,2019-03-27,1.0,58.0,2019,3,13,Dining Chairs
,,K1401-24-E073,,,,,,,,,,,2019-03-27,4.0,275.0,2019,3,13,Barstools
,,K1401-24-E074,,,,,,,,,,,2019-03-27,10.0,450.0,2019,3,13,Barstools
,,K1401.29-F772,,,,,,,,,,,2019-03-27,4.0,212.6,2019,3,13,Barstools
,,K2380-E155,,,,,,,,,,,2019-03-27,7.0,350.0,2019,3,13,Storage Benches
,,K2380-E169,,,,,,,,,,,2019-03-27,12.0,600.0,2019,3,13,Storage Benches
,,K5506-F1210,,,,,,,,,,,2019-03-27,3.0,330.0,2019,3,13,Dining Chairs
,,K5618-B214,,,,,,,,,,,2019-03-27,1.0,110.0,2019,3,13,Juvenile
,,K5668NP-F1399,,,,,,,,,,,2019-03-27,2.0,154.0,2019,3,13,Storage Benches
,,K6138-B231,,,,,,,,,,,2019-03-27,1.0,99.96,2019,3,13,Storage Benches
,,K6138-F1289,,,,,,,,,,,2019-03-27,2.0,183.14,2019,3,13,Storage Benches
,,K6171-B117,,,,,,,,,,,2019-03-27,5.0,255.0,2019,3,13,Storage Ottomans
,,K6171-B119,,,,,,,,,,,2019-03-27,4.0,250.0,2019,3,13,Storage Ottomans
,,K6171-B122,,,,,,,,,,,2019-03-27,2.0,118.76,2019,3,13,Storage Ottomans
,,K6171-B204,,,,,,,,,,,2019-03-27,2.0,105.08,2019,3,13,Storage Ottomans
,,K6171-B214,,,,,,,,,,,2019-03-27,7.0,351.47,2019,3,13,Storage Ottomans
,,K6171-B215,,,,,,,,,,,2019-03-27,9.0,522.0,2019,3,13,Storage Ottomans
,,K6171-B229,,,,,,,,,,,2019-03-27,8.0,476.64,2019,3,13,Storage Ottomans
,,K6206-F409,,,,,,,,,,,2019-03-27,1.0,105.0,2019,3,13,Storage Ottomans
,,K6211-B117,,,,,,,,,,,2019-03-27,1.0,156.25,2019,3,13,Storage Benches
,,K6211-B119,,,,,,,,,,,2019-03-27,1.0,140.0,2019,3,13,Storage Benches
,,K6211-B122,,,,,,,,,,,2019-03-27,2.0,280.0,2019,3,13,Storage Benches
,,K6377-F1374,,,,,,,,,,,2019-03-27,6.0,378.78,2019,3,13,Storage Ottomans
,,K6384NP-A750,,,,,,,,,,,2019-03-27,6.0,646.86,2019,3,13,Storage Benches
,,K6384NP-F2054,,,,,,,,,,,2019-03-27,1.0,107.81,2019,3,13,Storage Benches
,,K6407-A795,,,,,,,,,,,2019-03-27,1.0,82.88,2019,3,13,Juvenile
,,K6444-A755,,,,,,,,,,,2019-03-27,1.0,95.0,2019,3,13,Storage Benches
,,K6499-B122,,,,,,,,,,,2019-03-27,5.0,475.65,2019,3,13,Accent Chairs
,,K6499-B228,,,,,,,,,,,2019-03-27,1.0,127.5,2019,3,13,Accent Chairs
,,K6499-B247,,,,,,,,,,,2019-03-27,3.0,339.36,2019,3,13,Accent Chairs
,,K6805-A750,,,,,,,,,,,2019-03-27,1.0,150.94,2019,3,13,Dining Chairs
,,K6805-A751,,,,,,,,,,,2019-03-27,1.0,140.0,2019,3,13,Dining Chairs
,,K6805-A755,,,,,,,,,,,2019-03-27,1.0,140.0,2019,3,13,Dining Chairs
,,K6805-A793,,,,,,,,,,,2019-03-27,1.0,143.75,2019,3,13,Dining Chairs
,,K6805-A832,,,,,,,,,,,2019-03-27,2.0,301.88,2019,3,13,Dining Chairs
,,K6805-B215,,,,,,,,,,,2019-03-27,2.0,240.0,2019,3,13,Dining Chairs
,,K6805-F1565,,,,,,,,,,,2019-03-27,2.0,240.0,2019,3,13,Dining Chairs
,,K6805-F2052,,,,,,,,,,,2019-03-27,4.0,417.8,2019,3,13,Dining Chairs
,,K6805-F2054,,,,,,,,,,,2019-03-27,1.0,143.75,2019,3,13,Dining Chairs
,,K6805-F2061,,,,,,,,,,,2019-03-27,7.0,980.0,2019,3,13,Dining Chairs
,,K6805-F2062,,,,,,,,,,,2019-03-27,1.0,140.0,2019,3,13,Dining Chairs
,,K6805-F2063,,,,,,,,,,,2019-03-27,4.0,560.0,2019,3,13,Dining Chairs
,,K6805-F2091,,,,,,,,,,,2019-03-27,6.0,375.0,2019,3,13,Dining Chairs
,,K6805-F2092,,,,,,,,,,,2019-03-27,1.0,62.5,2019,3,13,Dining Chairs
,,K6858.24-A793,,,,,,,,,,,2019-03-27,2.0,190.0,2019,3,13,Barstools
,,K6859-F1550,,,,,,,,,,,2019-03-27,1.0,112.5,2019,3,13,Accent Chairs
,,K6862-E843,,,,,,,,,,,2019-03-27,6.0,354.24,2019,3,13,Storage Ottomans
,,K6862-E844,,,,,,,,,,,2019-03-27,2.0,124.3,2019,3,13,Storage Ottomans
,,K6862-E845,,,,,,,,,,,2019-03-27,11.0,683.65,2019,3,13,Storage Ottomans
,,K6862-E846,,,,,,,,,,,2019-03-27,6.0,316.14,2019,3,13,Storage Ottomans
,,K6862-E847,,,,,,,,,,,2019-03-27,4.0,248.6,2019,3,13,Storage Ottomans
,,K6862-E848,,,,,,,,,,,2019-03-27,1.0,62.15,2019,3,13,Storage Ottomans
,,K6908-F2269,,,,,,,,,,,2019-03-27,1.0,133.88,2019,3,13,Accent Chairs
,,K6958-B118,,,,,,,,,,,2019-03-27,4.0,300.0,2019,3,13,Decorative Ottomans
,,K6958-B123,,,,,,,,,,,2019-03-27,5.0,375.0,2019,3,13,Decorative Ottomans
,,K6958-B203,,,,,,,,,,,2019-03-27,1.0,75.0,2019,3,13,Decorative Ottomans
,,K7116-YDQY-2,,,,,,,,,,,2019-03-27,2.0,220.0,2019,3,13,Decorative Benches
,,K7224-B227,,,,,,,,,,,2019-03-27,2.0,125.0,2019,3,13,Decorative Ottomans
,,K7225-B227,,,,,,,,,,,2019-03-27,1.0,62.5,2019,3,13,Decorative Ottomans
,,K7225-B250,,,,,,,,,,,2019-03-27,2.0,124.7,2019,3,13,Decorative Ottomans
,,K7243,,,,,,,,,,,2019-03-27,1.0,42.75,2019,3,13,Accent tables
,,K7380-F1447,,,,,,,,,,,2019-03-27,6.0,270.0,2019,3,13,Storage Ottomans
,,K7399-B118,,,,,,,,,,,2019-03-27,1.0,44.68,2019,3,13,Decorative Ottomans
,,K7401-A825,,,,,,,,,,,2019-03-27,1.0,51.5,2019,3,13,Decorative Ottomans
,,K7401-F2060,,,,,,,,,,,2019-03-27,3.0,164.07,2019,3,13,Decorative Ottomans
,,K7401-F2267,,,,,,,,,,,2019-03-27,2.0,103.0,2019,3,13,Decorative Ottomans
,,K7446-F2182,,,,,,,,,,,2019-03-27,2.0,140.26,2019,3,13,Barstools
,,K7520-F2084,,,,,,,,,,,2019-03-27,1.0,50.0,2019,3,13,Decorative Ottomans
,,K7573-B234,,,,,,,,,,,2019-03-27,3.0,168.75,2019,3,13,Decorative Ottomans
,,K7575-A794,,,,,,,,,,,2019-03-27,2.0,293.26,2019,3,13,
,,K7575-F2060,,,,,,,,,,,2019-03-27,4.0,600.0,2019,3,13,Dining Chairs
,,K7646-A750,,,,,,,,,,,2019-03-27,1.0,65.0,2019,3,13,Storage Ottomans
,,K7703-A837,,,,,,,,,,,2019-03-27,1.0,80.0,2019,3,13,Storage Ottomans
,,K7769-B253,,,,,,,,,,,2019-03-27,1.0,62.22,2019,3,13,
,,N5762-E155,,,,,,,,,,,2019-03-27,43.0,1300.32,2019,3,13,Storage Ottomans
,,N5762-E607,,,,,,,,,,,2019-03-27,1.0,52.5,2019,3,13,Storage Ottomans
,,N6354-F1423,,,,,,,,,,,2019-03-27,1.0,143.75,2019,3,13,Dining Chairs
,,N7697S-F1539,,,,,,,,,,,2019-03-27,2.0,111.0,2019,3,13,Storage Ottomans
,,N7697S-F1563,,,,,,,,,,,2019-03-27,3.0,210.0,2019,3,13,Storage Ottomans
,,N8264-B119,,,,,,,,,,,2019-03-27,1.0,61.0,2019,3,13,Storage Ottomans
,,N8264-F1044,,,,,,,,,,,2019-03-27,1.0,70.0,2019,3,13,Storage Ottomans
,,N8264-F1077,,,,,,,,,,,2019-03-27,10.0,592.1,2019,3,13,Storage Ottomans
,,N8264-F2206,,,,,,,,,,,2019-03-27,2.0,150.0,2019,3,13,Storage Ottomans
,,K1401-24-E073,,,,,,,,,,,2019-03-28,3.0,206.25,2019,3,13,Barstools
,,K1401-24-E074,,,,,,,,,,,2019-03-28,4.0,180.0,2019,3,13,Barstools
,,K1401-29-E073,,,,,,,,,,,2019-03-28,3.0,206.25,2019,3,13,Barstools
,,K2380-E155,,,,,,,,,,,2019-03-28,5.0,250.0,2019,3,13,Storage Benches
,,K2380-E169,,,,,,,,,,,2019-03-28,8.0,400.0,2019,3,13,Storage Benches
,,K3334-E155,,,,,,,,,,,2019-03-28,1.0,42.53,2019,3,13,Juvenile
,,K4600-E155,,,,,,,,,,,2019-03-28,1.0,60.0,2019,3,13,Headboards/Beds
,,K5420-F1423,,,,,,,,,,,2019-03-28,2.0,91.88,2019,3,13,Storage Ottomans
,,K5668NP-F1399,,,,,,,,,,,2019-03-28,1.0,77.0,2019,3,13,Storage Benches
,,K6138-B230,,,,,,,,,,,2019-03-28,1.0,112.2,2019,3,13,Storage Benches
,,K6171-B117,,,,,,,,,,,2019-03-28,2.0,102.0,2019,3,13,Storage Ottomans
,,K6171-B204,,,,,,,,,,,2019-03-28,6.0,315.24,2019,3,13,Storage Ottomans
,,K6171-B214,,,,,,,,,,,2019-03-28,2.0,100.42,2019,3,13,Storage Ottomans
,,K6171-B215,,,,,,,,,,,2019-03-28,10.0,580.0,2019,3,13,Storage Ottomans
,,K6171-B229,,,,,,,,,,,2019-03-28,3.0,178.74,2019,3,13,Storage Ottomans
,,K6211-B117,,,,,,,,,,,2019-03-28,1.0,156.25,2019,3,13,Storage Benches
,,K6211-B215,,,,,,,,,,,2019-03-28,1.0,140.0,2019,3,13,Storage Benches
,,K6377-F1374,,,,,,,,,,,2019-03-28,1.0,63.13,2019,3,13,Storage Ottomans
,,K6384NP-A750,,,,,,,,,,,2019-03-28,3.0,323.43,2019,3,13,Storage Benches
,,K6384NP-F2051,,,,,,,,,,,2019-03-28,2.0,206.46,2019,3,13,Storage Benches
,,K6384NP-F2054,,,,,,,,,,,2019-03-28,1.0,107.81,2019,3,13,Storage Benches
,,K6384NP-F2055,,,,,,,,,,,2019-03-28,1.0,101.48,2019,3,13,Storage Benches
,,K6407-A853,,,,,,,,,,,2019-03-28,1.0,86.67,2019,3,13,
,,K6407-B218,,,,,,,,,,,2019-03-28,1.0,81.25,2019,3,13,Juvenile
,,K6499-B122,,,,,,,,,,,2019-03-28,3.0,285.39,2019,3,13,Accent Chairs
,,K6499-B214,,,,,,,,,,,2019-03-28,1.0,95.13,2019,3,13,Accent Chairs
,,K6499-B247,,,,,,,,,,,2019-03-28,3.0,339.36,2019,3,13,Accent Chairs
,,K6805-A727,,,,,,,,,,,2019-03-28,2.0,280.0,2019,3,13,Dining Chairs
,,K6805-A750,,,,,,,,,,,2019-03-28,1.0,150.94,2019,3,13,Dining Chairs
,,K6805-A755,,,,,,,,,,,2019-03-28,1.0,140.0,2019,3,13,Dining Chairs
,,K6805-F2052,,,,,,,,,,,2019-03-28,5.0,522.25,2019,3,13,Dining Chairs
,,K6805-F2054,,,,,,,,,,,2019-03-28,1.0,143.75,2019,3,13,Dining Chairs
,,K6805-F2061,,,,,,,,,,,2019-03-28,1.0,140.0,2019,3,13,Dining Chairs
,,K6858.29-F1374,,,,,,,,,,,2019-03-28,1.0,95.0,2019,3,13,Barstools
,,K6858.29-F2052,,,,,,,,,,,2019-03-28,4.0,380.0,2019,3,13,Barstools
,,K6862-E843,,,,,,,,,,,2019-03-28,1.0,59.04,2019,3,13,Storage Ottomans
,,K6862-E844,,,,,,,,,,,2019-03-28,1.0,62.15,2019,3,13,Storage Ottomans
,,K6862-E845,,,,,,,,,,,2019-03-28,1.0,62.15,2019,3,13,Storage Ottomans
,,K6862-E846,,,,,,,,,,,2019-03-28,3.0,158.07,2019,3,13,Storage Ottomans
,,K6862-E847,,,,,,,,,,,2019-03-28,1.0,62.15,2019,3,13,Storage Ottomans
,,K6958-B118,,,,,,,,,,,2019-03-28,5.0,375.0,2019,3,13,Decorative Ottomans
,,K7152-803-12,,,,,,,,,,,2019-03-28,1.0,75.0,2019,3,13,
,,K7225-B227,,,,,,,,,,,2019-03-28,2.0,125.0,2019,3,13,Decorative Ottomans
,,K7401-A825,,,,,,,,,,,2019-03-28,1.0,51.5,2019,3,13,Decorative Ottomans
,,K7446-F2182,,,,,,,,,,,2019-03-28,4.0,280.52,2019,3,13,Barstools
,,K7478-F2232,,,,,,,,,,,2019-03-28,2.0,126.0,2019,3,13,Decorative Ottomans
,,K7575-A794,,,,,,,,,,,2019-03-28,1.0,146.63,2019,3,13,
,,K7646-A823,,,,,,,,,,,2019-03-28,1.0,65.0,2019,3,13,Storage Ottomans
,,K7658-B233,,,,,,,,,,,2019-03-28,1.0,70.0,2019,3,13,Decorative Ottomans
,,N5762-E155,,,,,,,,,,,2019-03-28,13.0,393.12,2019,3,13,Storage Ottomans
,,N5762-E607,,,,,,,,,,,2019-03-28,1.0,52.5,2019,3,13,Storage Ottomans
,,N6302-F1550,,,,,,,,,,,2019-03-28,1.0,75.0,2019,3,13,Storage Benches
,,N6354-A708,,,,,,,,,,,2019-03-28,1.0,120.0,2019,3,13,Dining Chairs
,,N7697S-F1539,,,,,,,,,,,2019-03-28,1.0,55.5,2019,3,13,Storage Ottomans
,,N7697S-F1563,,,,,,,,,,,2019-03-28,1.0,70.0,2019,3,13,Storage Ottomans
,,N8264-B119,,,,,,,,,,,2019-03-28,1.0,61.0,2019,3,13,Storage Ottomans
,,N8264-F1044,,,,,,,,,,,2019-03-28,1.0,70.0,2019,3,13,Storage Ottomans
,,N8264-F1077,,,,,,,,,,,2019-03-28,6.0,355.26,2019,3,13,Storage Ottomans
,,K1401-24-E074,,,,,,,,,,,2019-03-29,4.0,180.0,2019,3,13,Barstools
,,K1401-29-E073,,,,,,,,,,,2019-03-29,1.0,68.75,2019,3,13,Barstools
,,K2380-E155,,,,,,,,,,,2019-03-29,1.0,50.0,2019,3,13,Storage Benches
,,K2380-E169,,,,,,,,,,,2019-03-29,9.0,450.0,2019,3,13,Storage Benches
,,K3334-E155,,,,,,,,,,,2019-03-29,2.0,85.06,2019,3,13,Juvenile
,,K4600-E155,,,,,,,,,,,2019-03-29,4.0,240.0,2019,3,13,Headboards/Beds
,,K4710-F696,,,,,,,,,,,2019-03-29,2.0,117.5,2019,3,13,Storage Ottomans
,,K5420-F1423,,,,,,,,,,,2019-03-29,1.0,45.94,2019,3,13,Storage Ottomans
,,K5506-F1210,,,,,,,,,,,2019-03-29,4.0,440.0,2019,3,13,Dining Chairs
,,K5506-F1211,,,,,,,,,,,2019-03-29,4.0,464.0,2019,3,13,Dining Chairs
,,K5618-B214,,,,,,,,,,,2019-03-29,1.0,110.0,2019,3,13,Juvenile
,,K5668NP-F1399,,,,,,,,,,,2019-03-29,2.0,154.0,2019,3,13,Storage Benches
,,K6138-B231,,,,,,,,,,,2019-03-29,1.0,99.96,2019,3,13,Storage Benches
,,K6171-B117,,,,,,,,,,,2019-03-29,1.0,51.0,2019,3,13,Storage Ottomans
,,K6171-B122,,,,,,,,,,,2019-03-29,1.0,59.38,2019,3,13,Storage Ottomans
,,K6171-B204,,,,,,,,,,,2019-03-29,1.0,52.54,2019,3,13,Storage Ottomans
,,K6171-B214,,,,,,,,,,,2019-03-29,6.0,301.26,2019,3,13,Storage Ottomans
,,K6171-B215,,,,,,,,,,,2019-03-29,6.0,348.0,2019,3,13,Storage Ottomans
,,K6171-B229,,,,,,,,,,,2019-03-29,6.0,357.48,2019,3,13,Storage Ottomans
,,K6189-F1370,,,,,,,,,,,2019-03-29,1.0,100.0,2019,3,13,Storage Benches
,,K6211-B117,,,,,,,,,,,2019-03-29,2.0,312.5,2019,3,13,Storage Benches
,,K6211-B122,,,,,,,,,,,2019-03-29,1.0,140.0,2019,3,13,Storage Benches
,,K6211-B215,,,,,,,,,,,2019-03-29,1.0,140.0,2019,3,13,Storage Benches
,,K6377-F1326,,,,,,,,,,,2019-03-29,3.0,174.0,2019,3,13,Storage Ottomans
,,K6377-F1374,,,,,,,,,,,2019-03-29,5.0,315.65,2019,3,13,Storage Ottomans
,,K6384NP-A750,,,,,,,,,,,2019-03-29,1.0,107.81,2019,3,13,Storage Benches
,,K6384NP-F2051,,,,,,,,,,,2019-03-29,2.0,206.46,2019,3,13,Storage Benches
,,K6384NP-F2052,,,,,,,,,,,2019-03-29,2.0,215.62,2019,3,13,Storage Benches
,,K6384NP-F2055,,,,,,,,,,,2019-03-29,1.0,101.48,2019,3,13,Storage Benches
,,K6444-A755,,,,,,,,,,,2019-03-29,1.0,95.0,2019,3,13,Storage Benches
,,K6465-F2095,,,,,,,,,,,2019-03-29,1.0,68.75,2019,3,13,
,,K6499-B122,,,,,,,,,,,2019-03-29,12.0,1141.56,2019,3,13,Accent Chairs
,,K6499-B228,,,,,,,,,,,2019-03-29,4.0,510.0,2019,3,13,Accent Chairs
,,K6805-A727,,,,,,,,,,,2019-03-29,1.0,140.0,2019,3,13,Dining Chairs
,,K6805-A793,,,,,,,,,,,2019-03-29,2.0,287.5,2019,3,13,Dining Chairs
,,K6805-B228,,,,,,,,,,,2019-03-29,1.0,140.0,2019,3,13,Dining Chairs
,,K6805-F2004,,,,,,,,,,,2019-03-29,1.0,140.0,2019,3,13,Dining Chairs
,,K6805-F2052,,,,,,,,,,,2019-03-29,3.0,313.35,2019,3,13,Dining Chairs
,,K6805-F2054,,,,,,,,,,,2019-03-29,1.0,143.75,2019,3,13,Dining Chairs
,,K6805-F2055,,,,,,,,,,,2019-03-29,2.0,213.34,2019,3,13,Dining Chairs
,,K6805-F2062,,,,,,,,,,,2019-03-29,1.0,140.0,2019,3,13,Dining Chairs
,,K6813-F2031,,,,,,,,,,,2019-03-29,2.0,170.0,2019,3,13,Storage Benches
,,K6858.24-A793,,,,,,,,,,,2019-03-29,1.0,95.0,2019,3,13,Barstools
,,K6858.24-A794,,,,,,,,,,,2019-03-29,1.0,96.9,2019,3,13,Barstools
,,K6858.24-F1530,,,,,,,,,,,2019-03-29,1.0,99.75,2019,3,13,Barstools
,,K6858.29-F2051,,,,,,,,,,,2019-03-29,4.0,380.0,2019,3,13,Barstools
,,K6859-F1550,,,,,,,,,,,2019-03-29,2.0,225.0,2019,3,13,Accent Chairs
,,K6862-E843,,,,,,,,,,,2019-03-29,6.0,354.24,2019,3,13,Storage Ottomans
,,K6862-E844,,,,,,,,,,,2019-03-29,1.0,62.15,2019,3,13,Storage Ottomans
,,K6862-E845,,,,,,,,,,,2019-03-29,6.0,372.9,2019,3,13,Storage Ottomans
